date,temperature
1981-02-01,0.42
1981-03-01,1.07
1981-04-01,0.78
1981-05-01,1.21
1981-06-01,0.63
1981-07-01,0.21
1981-08-01,0.47
1981-09-01,0.41
1981-10-01,0.18
1981-11-01,0.28
1981-12-01,0.31
1982-01-01,0.31
1982-02-01,1.13
1982-03-01,0.79
1982-04-01,0.74
1982-05-01,0.69
1982-06-01,0.69
1982-07-01,0.93
1982-08-01,0.63
1982-09-01,0.21
1982-10-01,-0.17
1982-11-01,0.08
1982-12-01,0.1
1983-01-01,0.52
1983-02-01,0.77
1983-03-01,0.87
1983-04-01,0.43
1983-05-01,0.62
1983-06-01,0.65
1983-07-01,0.67
1983-08-01,0.32
1983-09-01,0.33
1983-10-01,0.25
1983-11-01,0.35
1983-12-01,0.22
1984-01-01,0.57
1984-02-01,0.86
1984-03-01,0.9
1984-04-01,1.09
1984-05-01,1.03
1984-06-01,0.57
1984-07-01,0.54
1984-08-01,0.22
1984-09-01,-0.14
1984-10-01,0.21
1984-11-01,0.12
1984-12-01,0.28
1985-01-01,0.23
1985-02-01,0.46
1985-03-01,1.03
1985-04-01,0.47
1985-05-01,0.83
1985-06-01,0.45
1985-07-01,0.43
1985-08-01,0.41
1985-09-01,0.71
1985-10-01,0.02
1985-11-01,0.18
1985-12-01,0.15
1986-01-01,0.43
1986-02-01,0.91
1986-03-01,0.64
1986-04-01,0.63
1986-05-01,0.72
1986-06-01,0.55
1986-07-01,0.75
1986-08-01,0.43
1986-09-01,0.49
1986-10-01,0.45
1986-11-01,0.23
1986-12-01,0.65
1987-01-01,0.6
1987-02-01,1.02
1987-03-01,0.83
1987-04-01,1.16
1987-05-01,0.95
1987-06-01,1.16
1987-07-01,0.66
1987-08-01,0.32
1987-09-01,0.5
1987-10-01,0.13
1987-11-01,0.38
1987-12-01,0.59
1988-01-01,0.26
1988-02-01,1.05
1988-03-01,0.75
1988-04-01,0.95
1988-05-01,0.76
1988-06-01,0.5
1988-07-01,0.87
1988-08-01,0.54
1988-09-01,0.35
1988-10-01,0.23
1988-11-01,0.25
1988-12-01,0.48
1989-01-01,0.4
1989-02-01,0.69
1989-03-01,0.75
1989-04-01,0.78
1989-05-01,0.67
1989-06-01,0.61
1989-07-01,0.57
1989-08-01,0.19
1989-09-01,0.25
1989-10-01,0.21
1989-11-01,0.54
1989-12-01,0.55
1990-01-01,0.32
1990-02-01,0.49
1990-03-01,0.68
1990-04-01,0.95
1990-05-01,1.01
1990-06-01,0.45
1990-07-01,0.33
1990-08-01,0.49
1990-09-01,0.23
1990-10-01,0.0
1990-11-01,0.44
1990-12-01,0.43
1991-01-01,0.45
1991-02-01,0.59
1991-03-01,0.66
1991-04-01,0.7
1991-05-01,0.84
1991-06-01,0.72
1991-07-01,0.17
1991-08-01,0.34
1991-09-01,0.38
1991-10-01,0.44
1991-11-01,0.48
1991-12-01,0.69
1992-01-01,0.59
1992-02-01,0.87
1992-03-01,0.8
1992-04-01,0.95
1992-05-01,0.9
1992-06-01,0.62
1992-07-01,0.6
1992-08-01,0.01
1992-09-01,0.19
1992-10-01,-0.03
1992-11-01,0.36
1992-12-01,0.25
1993-01-01,0.7
1993-02-01,0.85
1993-03-01,1.01
1993-04-01,1.13
1993-05-01,0.63
1993-06-01,0.52
1993-07-01,0.36
1993-08-01,0.37
1993-09-01,0.44
1993-10-01,0.54
1993-11-01,0.44
1993-12-01,0.66
1994-01-01,0.75
1994-02-01,0.71
1994-03-01,0.91
1994-04-01,0.69
1994-05-01,1.22
1994-06-01,0.81
1994-07-01,0.69
1994-08-01,0.39
1994-09-01,0.4
1994-10-01,0.16
1994-11-01,0.26
1994-12-01,0.83
1995-01-01,0.62
1995-02-01,0.78
1995-03-01,1.05
1995-04-01,0.99
1995-05-01,1.14
1995-06-01,0.96
1995-07-01,0.68
1995-08-01,0.5
1995-09-01,0.38
1995-10-01,0.35
1995-11-01,0.5
1995-12-01,0.36
1996-01-01,0.33
1996-02-01,0.97
1996-03-01,0.56
1996-04-01,1.1
1996-05-01,0.73
1996-06-01,0.91
1996-07-01,0.65
1996-08-01,0.43
1996-09-01,0.42
1996-10-01,0.41
1996-11-01,1.06
1996-12-01,0.57
1997-01-01,0.77
1997-02-01,0.73
1997-03-01,0.71
1997-04-01,0.63
1997-05-01,0.93
1997-06-01,0.82
1997-07-01,0.88
1997-08-01,0.6
1997-09-01,0.11
1997-10-01,0.4
1997-11-01,0.66
1997-12-01,0.64
1998-01-01,0.48
1998-02-01,0.39
1998-03-01,0.74
1998-04-01,0.78
1998-05-01,1.16
1998-06-01,0.4
1998-07-01,0.6
1998-08-01,0.38
1998-09-01,0.16
1998-10-01,0.42
1998-11-01,0.52
1998-12-01,0.61
1999-01-01,0.48
1999-02-01,0.91
1999-03-01,1.02
1999-04-01,0.53
1999-05-01,1.11
1999-06-01,0.77
1999-07-01,0.44
1999-08-01,0.71
1999-09-01,0.39
1999-10-01,0.43
1999-11-01,0.47
1999-12-01,0.71
2000-01-01,0.58
2000-02-01,0.61
2000-03-01,0.52
2000-04-01,0.93
2000-05-01,0.86
2000-06-01,1.04
2000-07-01,0.73
2000-08-01,0.24
2000-09-01,0.44
2000-10-01,0.25
2000-11-01,0.49
2000-12-01,0.35
2001-01-01,0.61
2001-02-01,0.39
2001-03-01,0.89
2001-04-01,0.82
2001-05-01,0.91
2001-06-01,1.1
2001-07-01,0.71
2001-08-01,0.4
2001-09-01,0.73
2001-10-01,0.55
2001-11-01,0.66
2001-12-01,0.17
2002-01-01,0.95
2002-02-01,0.7
2002-03-01,0.99
2002-04-01,1.33
2002-05-01,1.03
2002-06-01,0.55
2002-07-01,0.6
2002-08-01,0.69
2002-09-01,0.51
2002-10-01,0.14
2002-11-01,0.79
2002-12-01,0.47
2003-01-01,0.67
2003-02-01,0.67
2003-03-01,1.03
2003-04-01,0.94
2003-05-01,0.8
2003-06-01,0.7
2003-07-01,0.55
2003-08-01,0.61
2003-09-01,0.65
2003-10-01,0.32
2003-11-01,0.46
2003-12-01,0.41
2004-01-01,0.37
2004-02-01,0.79
2004-03-01,0.95
2004-04-01,1.23
2004-05-01,0.5
2004-06-01,0.91
2004-07-01,0.73
2004-08-01,0.38
2004-09-01,0.46
2004-10-01,0.43
2004-11-01,0.5
2004-12-01,0.57
2005-01-01,0.81
2005-02-01,0.94
2005-03-01,0.57
2005-04-01,1.34
2005-05-01,0.94
2005-06-01,0.83
2005-07-01,0.71
2005-08-01,0.35
2005-09-01,0.63
2005-10-01,0.63
2005-11-01,0.77
2005-12-01,0.94
2006-01-01,1.01
2006-02-01,0.71
2006-03-01,0.57
2006-04-01,0.94
2006-05-01,0.93
2006-06-01,0.86
2006-07-01,0.71
2006-08-01,0.33
2006-09-01,0.38
2006-10-01,0.53
2006-11-01,0.53
2006-12-01,0.84
2007-01-01,0.71
2007-02-01,0.54
2007-03-01,1.2
2007-04-01,1.01
2007-05-01,0.62
2007-06-01,1.11
2007-07-01,0.86
2007-08-01,0.27
2007-09-01,0.48
2007-10-01,0.42
2007-11-01,0.8
2007-12-01,0.68
2008-01-01,0.94
2008-02-01,0.95
2008-03-01,1.18
2008-04-01,0.91
2008-05-01,0.91
2008-06-01,0.81
2008-07-01,1.11
2008-08-01,0.51
2008-09-01,0.42
2008-10-01,0.33
2008-11-01,0.46
2008-12-01,0.79
2009-01-01,0.96
2009-02-01,0.98
2009-03-01,0.99
2009-04-01,1.03
2009-05-01,0.9
2009-06-01,0.51
2009-07-01,0.55
2009-08-01,0.76
2009-09-01,0.74
2009-10-01,0.11
2009-11-01,0.55
2009-12-01,0.19
2010-01-01,0.78
2010-02-01,1.05
2010-03-01,0.85
2010-04-01,1.1
2010-05-01,1.01
2010-06-01,1.07
2010-07-01,0.88
2010-08-01,0.49
2010-09-01,0.57
2010-10-01,0.07
2010-11-01,0.8
2010-12-01,0.4
2011-01-01,0.58
2011-02-01,1.04
2011-03-01,0.73
2011-04-01,0.97
2011-05-01,1.25
2011-06-01,0.97
2011-07-01,0.67
2011-08-01,0.63
2011-09-01,0.64
2011-10-01,0.35
2011-11-01,0.28
2011-12-01,0.18
2012-01-01,0.49
2012-02-01,0.77
2012-03-01,0.73
2012-04-01,1.2
2012-05-01,1.29
2012-06-01,0.46
2012-07-01,0.54
2012-08-01,0.8
2012-09-01,0.39
2012-10-01,0.59
2012-11-01,0.19
2012-12-01,0.5
2013-01-01,0.83
2013-02-01,0.53
2013-03-01,1.16
2013-04-01,1.25
2013-05-01,1.25
2013-06-01,0.8
2013-07-01,0.82
2013-08-01,0.88
2013-09-01,0.46
2013-10-01,0.65
2013-11-01,0.59
2013-12-01,1.07
2014-01-01,0.52
2014-02-01,1.31
2014-03-01,1.06
2014-04-01,1.05
2014-05-01,1.11
2014-06-01,1.1
2014-07-01,0.85
2014-08-01,0.64
2014-09-01,0.44
2014-10-01,0.49
2014-11-01,0.17
2014-12-01,0.58
2015-01-01,1.02
2015-02-01,0.53
2015-03-01,1.25
2015-04-01,1.1
2015-05-01,1.59
2015-06-01,1.12
2015-07-01,0.71
2015-08-01,0.72
2015-09-01,0.38
2015-10-01,0.72
2015-11-01,0.64
2015-12-01,0.66
2016-01-01,1.03
2016-02-01,1.26
2016-03-01,1.1
2016-04-01,1.3
2016-05-01,1.38
2016-06-01,0.94
2016-07-01,0.65
2016-08-01,0.87
2016-09-01,0.97
2016-10-01,0.24
2016-11-01,0.67
2016-12-01,0.92
2017-01-01,0.82
2017-02-01,1.01
2017-03-01,1.28
2017-04-01,1.05
2017-05-01,1.08
2017-06-01,1.03
2017-07-01,0.8
2017-08-01,0.42
2017-09-01,0.59
2017-10-01,0.57
2017-11-01,0.45
2017-12-01,0.31
2018-01-01,0.69
2018-02-01,1.18
2018-03-01,1.03
2018-04-01,0.83
2018-05-01,1.04
2018-06-01,0.89
2018-07-01,1.0
2018-08-01,0.47
2018-09-01,0.57
2018-10-01,0.75
2018-11-01,0.57
2018-12-01,0.81
2019-01-01,0.82
2019-02-01,0.81
2019-03-01,0.96
2019-04-01,1.14
2019-05-01,0.64
2019-06-01,0.71
2019-07-01,0.86
2019-08-01,0.52
2019-09-01,0.76
2019-10-01,0.71
2019-11-01,0.52
2019-12-01,0.65
2020-01-01,0.65
2020-02-01,1.04
2020-03-01,1.11
2020-04-01,1.09
2020-05-01,1.14
2020-06-01,1.25
2020-07-01,0.73
2020-08-01,0.37
2020-09-01,0.22
2020-10-01,-0.03
2020-11-01,0.61
2020-12-01,0.43
2021-01-01,0.68
2021-02-01,0.91
2021-03-01,1.15
2021-04-01,1.18
2021-05-01,0.92
2021-06-01,0.86
2021-07-01,0.85
2021-08-01,1.33
2021-09-01,0.47
2021-10-01,0.34
2021-11-01,0.62
2021-12-01,0.78
2022-01-01,1.2
2022-02-01,0.73
2022-03-01,1.03
2022-04-01,0.99
2022-05-01,1.32
2022-06-01,1.28
2022-07-01,1.02
2022-08-01,0.74
2022-09-01,0.81
2022-10-01,0.32
2022-11-01,0.44
2022-12-01,0.53
2023-01-01,1.17
2023-02-01,0.95
2023-03-01,1.02
2023-04-01,1.22
2023-05-01,1.2
2023-06-01,1.22
2023-07-01,1.15
2023-08-01,0.62
2023-09-01,0.5
2023-10-01,0.44
2023-11-01,0.31
2023-12-01,0.85
